Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Train Acc.5	Valid Acc.5	
0.500000	4.140751	3.842624	5.742000	9.950000	21.268000	31.930000	
0.500000	3.685016	3.560249	12.154000	14.370000	35.652000	40.240000	
0.500000	3.380687	3.249131	17.660000	20.390000	45.338000	49.720000	
0.500000	3.081586	3.076351	23.360000	23.820000	53.342000	53.560000	
0.500000	2.803138	2.755503	28.364000	29.110000	60.240000	61.800000	
0.500000	2.575119	2.651214	33.068000	32.610000	65.460000	64.610000	
0.500000	2.397046	2.453976	36.668000	35.810000	69.728000	69.460000	
0.500000	2.254135	2.361474	39.632000	38.140000	72.606000	71.120000	
0.500000	2.151849	2.282345	41.938000	39.730000	74.806000	71.830000	
0.500000	2.062851	2.217073	44.102000	41.560000	76.690000	73.230000	
0.500000	1.975108	2.152897	46.078000	42.510000	78.228000	74.770000	
0.500000	1.909289	2.107076	47.616000	44.510000	79.548000	76.110000	
0.500000	1.856696	2.083063	48.680000	44.520000	80.476000	76.940000	
0.500000	1.807205	2.015376	49.780000	45.820000	81.344000	77.620000	
0.500000	1.765286	1.929052	50.960000	47.900000	82.190000	79.220000	
0.500000	1.734177	1.968972	51.496000	47.090000	82.762000	79.270000	
0.500000	1.686601	1.850157	52.684000	50.420000	83.448000	80.800000	
0.500000	1.669263	1.908725	53.380000	47.770000	83.646000	79.960000	
0.500000	1.640027	1.998794	53.994000	46.790000	84.234000	77.760000	
0.500000	1.622898	1.864523	54.380000	49.130000	84.536000	80.870000	
0.500000	1.599519	1.903720	54.888000	49.500000	84.970000	79.890000	
0.500000	1.579655	1.801995	55.186000	51.700000	85.332000	81.540000	
0.500000	1.572291	1.800656	55.832000	50.790000	85.264000	81.840000	
0.500000	1.552506	1.800540	55.884000	51.470000	85.500000	81.700000	
0.500000	1.539512	1.887623	56.620000	49.640000	85.954000	80.270000	
0.500000	1.524609	1.857667	56.928000	50.370000	86.262000	81.180000	
0.500000	1.516279	1.931124	56.868000	48.810000	86.282000	79.760000	
0.500000	1.495709	1.784769	57.350000	51.970000	86.562000	82.280000	
0.500000	1.491983	1.787112	57.544000	51.750000	86.478000	82.040000	
0.500000	1.478746	1.748881	57.840000	52.200000	86.768000	82.770000	
0.500000	1.464622	1.946275	58.136000	49.220000	86.996000	80.070000	
0.500000	1.463965	1.775926	58.264000	52.060000	87.118000	82.160000	
0.500000	1.467437	1.751789	58.000000	52.490000	87.066000	82.400000	
0.500000	1.433166	1.780263	58.914000	51.960000	87.430000	82.390000	
0.500000	1.443898	1.863495	58.728000	50.950000	87.300000	81.210000	
0.500000	1.439525	1.766037	59.094000	52.920000	87.268000	82.060000	
0.500000	1.431372	1.747800	59.220000	52.670000	87.480000	83.040000	
0.500000	1.424568	1.754220	59.226000	52.940000	87.736000	82.870000	
0.500000	1.410806	1.811516	59.652000	51.910000	87.748000	80.960000	
0.500000	1.409545	1.665882	59.854000	53.960000	87.954000	84.430000	
0.500000	1.416349	1.784466	59.658000	51.890000	87.658000	82.160000	
0.500000	1.403581	1.703930	59.822000	54.710000	88.002000	83.580000	
0.500000	1.405603	1.768571	59.974000	53.460000	87.914000	82.410000	
0.500000	1.397880	1.743082	59.794000	53.190000	88.030000	82.670000	
0.500000	1.386877	1.745235	60.406000	52.950000	88.188000	82.520000	
0.500000	1.387734	1.663975	60.294000	54.440000	88.180000	84.170000	
0.500000	1.386255	1.693166	60.230000	54.760000	88.194000	84.090000	
0.500000	1.382623	1.690347	60.390000	54.460000	88.330000	83.800000	
0.500000	1.370550	1.702508	60.834000	53.860000	88.444000	83.670000	
0.500000	1.372731	1.696185	60.578000	54.220000	88.382000	83.750000	
0.500000	1.369155	1.683627	60.772000	53.770000	88.450000	83.430000	
0.500000	1.365412	1.660035	60.814000	55.240000	88.352000	83.860000	
0.500000	1.372399	1.594662	60.606000	56.420000	88.466000	84.650000	
0.500000	1.367784	1.663102	60.852000	54.430000	88.388000	84.470000	
0.500000	1.363355	1.718651	61.078000	52.520000	88.478000	82.780000	
0.500000	1.344378	1.708171	61.088000	54.640000	88.822000	83.360000	
0.500000	1.365295	1.625646	60.942000	55.690000	88.558000	84.580000	
0.500000	1.346824	1.660359	61.296000	55.000000	88.642000	84.260000	
0.500000	1.343875	1.720543	61.360000	54.410000	88.728000	83.380000	
0.500000	1.343423	1.673696	61.204000	54.640000	88.862000	84.130000	
0.500000	1.360123	1.701284	60.888000	53.980000	88.600000	83.700000	
0.500000	1.335486	1.704186	61.500000	54.480000	88.914000	83.280000	
0.500000	1.341894	1.679780	61.376000	55.180000	88.720000	83.700000	
0.500000	1.326010	1.695941	61.702000	54.680000	88.970000	83.860000	
0.500000	1.337524	1.599514	61.376000	56.290000	88.934000	84.940000	
0.500000	1.341431	1.659317	61.132000	54.450000	88.888000	84.050000	
0.500000	1.326934	1.645441	61.684000	55.040000	88.972000	84.190000	
0.500000	1.327917	1.640657	61.732000	55.260000	88.924000	84.480000	
