Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Train Acc.5	Valid Acc.5	
0.100000	1.634339	1.280071	38.570000	54.400000	87.266000	93.800000	
0.100000	1.093542	0.968459	60.682000	64.870000	95.952000	97.190000	
0.100000	0.871332	0.797255	68.978000	71.690000	97.594000	98.330000	
0.100000	0.741053	0.712146	74.148000	75.210000	98.290000	98.350000	
0.100000	0.662087	0.682857	77.102000	76.200000	98.664000	98.730000	
0.100000	0.605233	0.640543	79.076000	78.980000	98.858000	98.820000	
0.100000	0.563348	0.644891	80.606000	78.410000	99.004000	98.660000	
0.100000	0.535394	0.575335	81.366000	80.670000	99.114000	99.000000	
0.100000	0.503046	0.559086	82.680000	80.420000	99.232000	99.090000	
0.100000	0.485446	0.535290	83.170000	81.750000	99.310000	99.220000	
0.100000	0.460218	0.505158	84.134000	82.980000	99.356000	99.110000	
0.100000	0.443736	0.519696	84.506000	82.580000	99.390000	99.110000	
0.100000	0.427087	0.482841	85.170000	83.750000	99.430000	99.210000	
0.100000	0.417690	0.494657	85.538000	83.350000	99.456000	99.150000	
0.100000	0.405218	0.519404	85.908000	82.400000	99.452000	99.190000	
0.100000	0.401886	0.472549	86.034000	83.950000	99.494000	99.250000	
0.100000	0.385044	0.480832	86.656000	83.760000	99.468000	99.260000	
0.100000	0.374951	0.463366	87.014000	83.870000	99.524000	99.430000	
0.100000	0.372320	0.456917	87.218000	84.240000	99.576000	99.280000	
0.100000	0.359558	0.441508	87.506000	85.170000	99.598000	99.330000	
0.100000	0.349265	0.460874	87.808000	84.410000	99.622000	99.320000	
0.100000	0.345405	0.433807	87.962000	85.410000	99.624000	99.270000	
0.100000	0.340355	0.412324	88.234000	86.320000	99.662000	99.450000	
0.100000	0.340590	0.454195	88.120000	84.530000	99.674000	99.370000	
0.100000	0.328502	0.432496	88.536000	85.160000	99.710000	99.380000	
0.100000	0.329559	0.424448	88.532000	85.340000	99.646000	99.440000	
0.100000	0.327217	0.442285	88.648000	84.950000	99.706000	99.390000	
0.100000	0.315842	0.412271	88.890000	85.910000	99.698000	99.510000	
0.100000	0.308371	0.438730	89.166000	85.500000	99.710000	99.440000	
0.100000	0.311932	0.421785	89.204000	85.710000	99.700000	99.340000	
0.100000	0.305882	0.419047	89.342000	85.300000	99.724000	99.390000	
0.100000	0.302627	0.414286	89.476000	85.970000	99.734000	99.510000	
0.100000	0.298871	0.405152	89.594000	86.530000	99.764000	99.560000	
0.100000	0.290830	0.402036	89.882000	86.410000	99.738000	99.360000	
0.100000	0.290349	0.406714	89.826000	86.570000	99.750000	99.420000	
0.100000	0.285742	0.398605	89.994000	86.720000	99.760000	99.510000	
0.100000	0.288046	0.410887	89.938000	85.930000	99.758000	99.480000	
0.100000	0.287007	0.382822	89.954000	86.890000	99.764000	99.480000	
0.100000	0.274611	0.404984	90.380000	86.460000	99.766000	99.430000	
0.100000	0.276258	0.402006	90.488000	86.590000	99.800000	99.540000	
0.100000	0.280087	0.379343	90.120000	87.050000	99.780000	99.500000	
0.100000	0.275286	0.407462	90.416000	86.320000	99.788000	99.480000	
0.100000	0.272061	0.377776	90.460000	86.980000	99.788000	99.500000	
0.100000	0.269314	0.371268	90.602000	87.470000	99.800000	99.540000	
0.100000	0.266868	0.401150	90.658000	86.840000	99.792000	99.500000	
0.100000	0.264226	0.422828	90.894000	85.900000	99.792000	99.530000	
0.100000	0.267759	0.389140	90.604000	86.990000	99.782000	99.430000	
0.100000	0.263236	0.411796	90.780000	86.710000	99.830000	99.510000	
0.100000	0.260793	0.410421	90.882000	86.100000	99.812000	99.420000	
0.100000	0.262883	0.379695	90.834000	87.220000	99.800000	99.530000	
0.100000	0.263400	0.386321	90.916000	87.120000	99.804000	99.400000	
0.100000	0.253951	0.391557	91.050000	86.900000	99.834000	99.500000	
0.100000	0.259380	0.376644	90.868000	87.010000	99.840000	99.480000	
0.100000	0.259681	0.396867	90.906000	86.850000	99.834000	99.510000	
0.100000	0.249245	0.390596	91.270000	87.100000	99.800000	99.520000	
0.100000	0.259164	0.373389	90.938000	87.200000	99.826000	99.590000	
0.100000	0.250136	0.393954	91.344000	86.580000	99.824000	99.520000	
0.100000	0.249199	0.386847	91.350000	87.080000	99.806000	99.480000	
