Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Train Acc.5	Valid Acc.5	
0.100000	1.610704	1.294521	39.354000	52.110000	87.880000	94.540000	
0.100000	1.090672	0.969658	60.912000	65.600000	95.994000	96.850000	
0.100000	0.857865	0.824309	69.976000	71.560000	97.654000	98.070000	
0.100000	0.740162	0.736402	74.264000	75.010000	98.268000	98.460000	
0.100000	0.664470	0.713600	77.156000	74.820000	98.572000	98.220000	
0.100000	0.612545	0.621974	78.830000	78.530000	98.794000	98.900000	
0.100000	0.578229	0.581313	79.992000	80.120000	98.940000	98.950000	
0.100000	0.542170	0.559004	81.442000	80.950000	99.062000	99.040000	
0.100000	0.514808	0.570679	82.254000	80.830000	99.068000	98.770000	
0.100000	0.494451	0.545159	82.874000	80.620000	99.190000	99.150000	
0.100000	0.483061	0.535961	83.478000	81.880000	99.224000	99.160000	
0.100000	0.469008	0.523150	83.806000	82.440000	99.274000	99.120000	
0.100000	0.455145	0.493814	84.346000	83.410000	99.328000	99.160000	
0.100000	0.438189	0.468731	84.996000	84.330000	99.406000	99.230000	
0.100000	0.433420	0.502175	85.140000	83.010000	99.378000	99.170000	
0.100000	0.422452	0.484367	85.388000	83.720000	99.404000	99.220000	
0.100000	0.412362	0.479492	85.682000	84.190000	99.486000	99.150000	
0.100000	0.401085	0.446770	85.994000	84.630000	99.522000	99.250000	
0.100000	0.397016	0.455821	86.282000	84.950000	99.486000	99.330000	
0.100000	0.388231	0.474190	86.600000	83.840000	99.516000	99.140000	
0.100000	0.390053	0.438059	86.478000	85.100000	99.492000	99.340000	
0.100000	0.375842	0.452692	87.026000	84.830000	99.558000	99.290000	
0.100000	0.369070	0.468386	87.292000	83.960000	99.566000	99.300000	
0.100000	0.364257	0.443332	87.300000	84.810000	99.598000	99.290000	
0.100000	0.358908	0.501122	87.556000	83.350000	99.574000	99.260000	
0.100000	0.363260	0.448461	87.440000	84.810000	99.584000	99.340000	
0.100000	0.355679	0.485682	87.702000	83.650000	99.612000	99.240000	
0.100000	0.346774	0.461276	87.960000	84.670000	99.620000	99.220000	
0.100000	0.343893	0.446451	88.050000	85.000000	99.602000	99.290000	
0.100000	0.341110	0.428649	88.084000	85.450000	99.628000	99.430000	
0.100000	0.334726	0.450687	88.314000	84.960000	99.678000	99.470000	
0.100000	0.334635	0.456374	88.314000	84.940000	99.670000	99.280000	
0.100000	0.333626	0.417530	88.568000	85.710000	99.668000	99.410000	
0.100000	0.323722	0.430157	88.884000	85.430000	99.674000	99.560000	
0.100000	0.326741	0.461925	88.724000	84.990000	99.674000	99.310000	
0.100000	0.325708	0.475428	88.748000	84.170000	99.648000	99.210000	
0.100000	0.321067	0.418173	88.970000	86.060000	99.652000	99.400000	
0.100000	0.319111	0.409267	88.940000	86.420000	99.690000	99.470000	
0.100000	0.313513	0.411126	89.082000	85.770000	99.720000	99.420000	
0.100000	0.311898	0.428024	89.088000	85.630000	99.724000	99.310000	
0.100000	0.313157	0.417351	89.016000	86.010000	99.740000	99.490000	
0.100000	0.307274	0.405887	89.354000	86.280000	99.742000	99.440000	
0.100000	0.306330	0.431540	89.372000	85.010000	99.722000	99.360000	
0.100000	0.299289	0.423214	89.560000	85.920000	99.732000	99.380000	
0.100000	0.301181	0.409362	89.472000	86.370000	99.756000	99.450000	
0.100000	0.300294	0.427589	89.500000	85.600000	99.734000	99.380000	
0.100000	0.303445	0.429982	89.400000	85.710000	99.708000	99.360000	
0.100000	0.293846	0.426904	89.652000	85.950000	99.732000	99.400000	
0.100000	0.295971	0.387605	89.800000	86.890000	99.720000	99.340000	
0.100000	0.292254	0.400360	89.900000	86.230000	99.740000	99.410000	
0.100000	0.295296	0.420459	89.652000	86.040000	99.766000	99.330000	
0.100000	0.296374	0.411288	89.782000	86.040000	99.736000	99.460000	
0.100000	0.291906	0.378071	89.910000	87.020000	99.742000	99.350000	
0.100000	0.288702	0.392819	90.090000	86.580000	99.746000	99.430000	
0.100000	0.284735	0.419827	90.120000	86.150000	99.764000	99.340000	
0.100000	0.295601	0.397950	89.726000	86.720000	99.778000	99.490000	
0.100000	0.292801	0.383789	89.734000	86.620000	99.758000	99.420000	
0.100000	0.285359	0.401864	90.130000	87.060000	99.720000	99.390000	
0.100000	0.287027	0.406907	90.042000	86.510000	99.824000	99.370000	
0.100000	0.286293	0.437181	90.162000	85.490000	99.764000	99.310000	
0.100000	0.286030	0.395349	89.924000	86.360000	99.780000	99.480000	
0.100000	0.277224	0.398510	90.308000	86.840000	99.764000	99.440000	
0.100000	0.280839	0.409821	90.306000	86.720000	99.780000	99.320000	
0.100000	0.275396	0.391090	90.448000	86.970000	99.784000	99.490000	
0.100000	0.285324	0.424954	90.094000	85.580000	99.752000	99.410000	
0.100000	0.274706	0.406593	90.554000	86.390000	99.746000	99.520000	
0.100000	0.277196	0.409395	90.228000	86.420000	99.826000	99.330000	
0.100000	0.275524	0.421532	90.378000	85.780000	99.776000	99.230000	
0.100000	0.277140	0.419048	90.222000	86.610000	99.790000	99.450000	
0.100000	0.275165	0.403788	90.482000	86.600000	99.780000	99.450000	
0.100000	0.279710	0.395870	90.368000	86.570000	99.792000	99.340000	
0.100000	0.271444	0.386752	90.514000	87.230000	99.796000	99.400000	
0.100000	0.271640	0.445164	90.572000	85.400000	99.792000	99.400000	
0.100000	0.268915	0.400428	90.654000	86.410000	99.794000	99.480000	
0.100000	0.266150	0.390487	90.838000	86.810000	99.804000	99.490000	
0.100000	0.270930	0.432890	90.522000	84.960000	99.790000	99.310000	
0.100000	0.275296	0.393378	90.356000	87.200000	99.788000	99.480000	
0.100000	0.267643	0.390974	90.756000	87.110000	99.806000	99.520000	
0.100000	0.262132	0.392866	90.962000	87.110000	99.820000	99.420000	
0.100000	0.269061	0.402756	90.516000	86.390000	99.808000	99.530000	
0.100000	0.269089	0.417658	90.662000	86.240000	99.798000	99.310000	
0.010000	0.161545	0.298966	94.282000	90.290000	99.940000	99.710000	
0.010000	0.131428	0.293251	95.420000	90.660000	99.950000	99.690000	
0.010000	0.117955	0.301948	95.896000	90.340000	99.962000	99.700000	
0.010000	0.112066	0.290115	96.004000	90.600000	99.970000	99.700000	
0.010000	0.108129	0.289478	96.208000	90.790000	99.972000	99.700000	
