Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Train Acc.5	Valid Acc.5	
0.100000	4.168453	4.414580	5.836000	6.200000	20.916000	24.710000	
0.100000	3.628120	3.715774	13.152000	14.820000	37.140000	40.210000	
0.100000	3.267816	3.352726	19.688000	18.790000	47.978000	46.260000	
0.100000	2.932496	3.118643	25.590000	23.810000	56.460000	53.390000	
0.100000	2.637720	2.757982	31.600000	29.500000	63.828000	62.240000	
0.100000	2.402536	2.408224	36.418000	37.060000	69.382000	69.840000	
0.100000	2.202322	2.590607	40.764000	35.180000	73.604000	68.740000	
0.100000	2.046006	2.198286	44.076000	41.240000	76.878000	74.680000	
0.100000	1.926109	2.117988	46.924000	43.660000	78.896000	76.530000	
0.100000	1.821291	1.925084	49.574000	47.550000	80.948000	79.060000	
0.100000	1.734446	2.078040	51.452000	45.210000	82.444000	77.690000	
0.100000	1.660742	2.328026	53.490000	42.660000	83.458000	72.680000	
0.100000	1.587178	1.854544	55.120000	49.840000	85.016000	81.180000	
0.100000	1.534908	1.917593	56.438000	49.140000	85.744000	80.670000	
0.100000	1.488366	1.850484	57.522000	51.020000	86.394000	80.930000	
0.100000	1.432427	1.839731	58.880000	50.700000	87.364000	81.020000	
0.100000	1.386040	1.856031	60.340000	51.580000	87.970000	82.220000	
0.100000	1.353286	1.792241	60.904000	52.130000	88.496000	81.680000	
0.100000	1.319535	1.747117	61.750000	53.460000	88.974000	82.680000	
0.100000	1.281270	1.793707	62.704000	53.160000	89.624000	83.120000	
0.100000	1.251295	1.796111	63.558000	53.630000	89.910000	82.470000	
0.100000	1.224469	1.756313	63.968000	54.330000	90.400000	83.100000	
0.100000	1.200006	1.707322	64.770000	55.460000	90.598000	84.220000	
0.100000	1.166193	1.532384	65.710000	57.680000	91.254000	86.020000	
0.100000	1.147068	1.614637	66.186000	56.870000	91.364000	85.080000	
0.100000	1.128021	1.717085	66.646000	55.500000	91.716000	84.870000	
0.100000	1.103787	1.729823	67.410000	53.910000	91.924000	83.170000	
0.100000	1.081913	1.789730	68.008000	53.870000	92.220000	83.280000	
0.100000	1.068137	1.688099	68.228000	56.890000	92.342000	85.130000	
0.100000	1.050232	1.782880	68.808000	54.610000	92.730000	83.220000	
